"full_name","gender","mfa_degree","role","prize_year","prize_name","prize_amount","prize_institution","prize_type","prize_genre","given_name","last_name","author_wikidata","author_wikidata_label","author_viaf","author_lccn","elite_institution","graduate_degree","iowa_mfa_person_id","stegner","title_of_winning_book"
"John Haines","male","","winner","1991","Lenore Marshall Poetry Prize","25,000","Academy of American Poets","book","poetry","John","Haines","Q6237237","John Haines","64131356","n50019759","","","","","New Poems, 1980-88"
"Howard Nemerov","male","","judge","1991","Pulitzer Prize","15,000","Columbia University","book","poetry","Howard","Nemerov","Q429011","Howard Nemerov","68933459","n78084908","Harvard University","graduate","","","Near Changes"
"George Core","male","","judge","1991","Pulitzer Prize","15,000","Columbia University","book","poetry","George","Core","","","","","","graduate","","","Near Changes"
"Curtis Harnack","male","","judge","1991","National Book Award","10,000","National Book Foundation","book","prose","Curtis","Harnack","Q15429739","Curtis Harnack","117207233","n81035407","Columbia University","graduate","","","Mating"
"Clarence Major","male","","judge","1991","National Book Award","10,000","National Book Foundation","book","prose","Clarence","Major","Q5126659","Clarence Major","24604680","n79145268","","graduate","","","Mating"
"Larry Heinemann","male","","judge","1991","National Book Award","10,000","National Book Foundation","book","prose","Larry","Heinemann","Q6490488","Larry Heinemann","4958369","n85339740","","","","","Mating"
"Norman Rush","male","","winner","1991","National Book Award","10,000","National Book Foundation","book","prose","Norman","Rush","Q1215607","Norman Rush","93387650","n85220366","","","","","Mating"
"Bernard Cooper","male","California Institute of the Arts","winner","1991","Hemingway Award for Debut Novel","10,000","PEN America","book","prose","Bernard","Cooper","Q4893022","Bernard Cooper","111282783","n88286719","","graduate","","","Maps To Anywhere"
"Richard Ford","male","Univeristy of California, Irvine","judge","1991","Drue Heinz Literature Prize","15,000","University of Pittsburg Press","book","prose","Richard","Ford","Q547794","Richard Ford","109503268","n80113050","","graduate","","","Have You Seen Me?"
"Walter Abish","male","","winner","1991","Award of Merit Medal in the Novel","25,000","American Academy of Arts and Letters","career","prose","Walter","Abish","Q213806","Walter Abish","96215590","n80102276","","","","",""
"Brendan Galvin","male","University of Massachusetts, Amherst","winner","1991","O. B. Hardison Poetry Prize","10,000","Folger Shakespeare Library","career","poetry","Brendan","Galvin","Q4960892","Brendan Galvin","36946719","n79105983","","graduate","","",""
"Mark Strand","male","University of Iowa","winner","1991","Poet Laureate","35,000","Library of Congress","career","poetry","Mark","Strand","Q928775","Mark Strand","49272680","n79090257","Yale University","graduate","3152","",""
"John Edgar Wideman","male","University of Iowa","winner","1991","Lannan Award","150,000","Lannan Foundation","career","prose","John Edgar","Wideman","Q688739","John Edgar Wideman","110405033","n82231445","University of Pennsylvania","graduate","missing","",""
"Gregory Sellers","male","University of Arizona","winner","1991","Ruth Lilly And Dorothy Sargent Rosenberg Poetry Fellowship","15,000","Poetry Foundation","career","poetry","Gregory","Sellers","","","","","","graduate","","",""
"David Bromwich","male","","judge","1991","Bollingen Prize for Poetry","10,000","Yale University","career","poetry","David","Bromwich","Q5231783","David Bromwich","2485954","n79069634","Yale University","graduate","","",""
"David Bromwich","male","","judge","1991","Bollingen Prize for Poetry","10,000","Yale University","career","poetry","David","Bromwich","Q5231783","David Bromwich","2485954","n79069634","Yale University","graduate","","",""
"J. D. McClatchy","male","","winner","1991","Academy of American Poets Fellowship","25,000","Academy of American Poets","career","poetry","J. D.","McClatchy","Q915445","J. D. McClatchy","98044618","n77011314","Yale University","graduate","","",""
