Location Name,Title,Permanent Call Number,Author
Hallock Collection,"Centennial anniversary of the independence of the state of Vermont and the battle of Bennington : August 15 and 16, 1877. Westminster, Hubbardton, Windsor.",B91xb4,Bennington Battle Monument and Historical Association.
Hallock Collection,Character and characteristic men /,H39yw,"Whipple, Edwin Percy, 1819-1886."
Hallock Collection,"Characteristics of men of genius : a series of biographical, historical, and critical essays /",E53xc46,
Hallock Collection,Child life : a collection of poems /,W62ch,
Hallock Collection,Child life in prose.,W62chi,"Whittier, John Greenleaf, 1807-1892 editor."
Hallock Collection,Chimasia: a reply to Longfellow's Theologian; and other poems.,L85tyr,"Reeves, Henry."
Hallock Collection,Christmas eve /,I72c,"Irving, Washington, 1783-1859."
Hallock Collection,Christus. A mystery.,L85ch,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Chronicles of Wolfert's Roost : and other papers /,I72woa,"Irving, Washington, 1783-1859."
Hallock Collection,"Clews to Emerson's mystic verse,",E53yk,"Kennedy, William Sloane, 1850-1929."
Hallock Collection,"Cloth of gold, and other poems /",A36c,"Aldrich, Thomas Bailey, 1836-1907, author."
Hallock Collection,"Commemorative services, King's Chapel, Boston, upon the completion of two hundred years : Wednesday, December 15, 1886, at 2 p.m. : Together with some historical memorials ...",H75xb7474c,"King's Chapel (Boston, Mass.)"
Hallock Collection,"Complete prose works : Specimen days and Collect, November boughs, and Good bye my fancy /",W61cm,"Whitman, Walt, 1819-1892."
Hallock Collection,"Concerning the relations of Great Britain, Spain, and Portugal, to each other, and to the common enemy, at this crisis; and specifically as affected by the Convention of Cintra: the whole brought to the test of those principles, by which alone the independence and freedom of nations can be preserved or recovered.",W92c,"Wordsworth, William, 1770-1850."
Hallock Collection,"Concord days,",E53ya3,"Alcott, Amos Bronson, 1799-1888."
Hallock Collection,"Concord lectures on philosophy : comprising outlines of all the lectures at the Concord summer School of Philosophy in 1882, with an historical sketch /",E53yc7,"Concord School of Philosophy, author, issuing body."
Hallock Collection,Conversations with Walt Whitman /,W61yh,"Hartmann, Sadakichi, 1867-1944."
Hallock Collection,Coplas /,L85xm,"Manrique, Jorge, 1440?-1479."
Hallock Collection,"Coplas de Jorge Manrique,",L85xma,"Manrique, Jorge, 1440?-1479."
Hallock Collection,Correspondence between Ralph Waldo Emerson and Herman Grimm;,E53cor,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,Critical and miscellaneous essays /,E53xcc,"Carlyle, Thomas, 1795-1881."
Hallock Collection,"Crowding memories,",A36ya,"Aldrich, Thomas Bailey, Mrs., 1841-1927."
Hallock Collection,"Culture, behavior, beauty /",E53cu,"Emerson, Ralph Waldo, 1803-1882."
Hallock Collection,"Currents and counter-currents in medical science : an address delivered before the Massachusetts Medical Society, at the annual meeting, May 30, 1860 /",H75cu,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,"Currents and counter-currents in medical science, with other addresses and essays.",H75cua,"Holmes, Oliver Wendell, 1809-1894."
Hallock Collection,"Daboll's schoolmaster's assistant, improved and enlarged. Being a plain practical system of arithmetic: adapted to the United States.",D11s,"Daboll, Nathan, 1750-1818."
Hallock Collection,Daisy's necklace: and what came of it. (A literary episode.),A36d,"Aldrich, Thomas Bailey, 1836-1907."
Hallock Collection,"Dalle avventure d'Arthur Gordon Pym,",P74ni,"Poe, Edgar Allan, 1809-1849."
Hallock Collection,"Das Lied von Hiawatha, aus dem Englischen ...",L85soga,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Das Religio?se bei H.W. Longfellow und dessen Stellung zur Bibel /,L85ys,"Schulze, Bernhard, 1884-"
Hallock Collection,Death of President Garfield.,L91xd2,
Hallock Collection,"Dedication of the new building for the Free Public Library of Concord, Massachusetts, Wednesday, Oct. 1, 1873.",E53xc74,"Concord Free Public Library (Concord, Mass.)"
Hallock Collection,"Democracy, and other addresses /",L91d,"Lowell, James Russell, 1819-1891."
Hallock Collection,Democratic vistas : and other papers /,W61da,"Whitman, Walt, 1819-1892."
Hallock Collection,"Democratic vistas, and other papers /",W61db,"Whitman, Walt, 1819-1892."
Hallock Collection,Democratic vistas.,W61d,"Whitman, Walt, 1819-1892, author."
Hallock Collection,Der Heiratsantrag des Miles Standish /,L85cug,"Longfellow, Henry Wadsworth, 1807-1882."
Hallock Collection,Der Sang von Hiawatha /,L85sog,"Longfellow, Henry Wadsworth, 1807-1882."
